Estatísticas,Total de jogos,Média de pontos,Média de assistências,Média de rebotes,Minutos em quadra,Nome do jogador
Temporada atual,43,29.6046511627907,10.30232558139535,12.837209302325581,1566.0,Nikola Jokić
Carreira,718,21.465181058495823,7.116991643454039,10.864902506963789,22641.0,Nikola Jokić
Temporada atual,49,17.979591836734695,2.163265306122449,6.408163265306122,1625.0,Michael Porter Jr.
Carreira,317,16.025236593059937,1.3438485804416405,6.255520504731861,9067.0,Michael Porter Jr.
Temporada atual,43,20.3953488372093,6.069767441860465,4.023255813953488,1550.0,Jamal Murray
Carreira,512,17.703125,4.623046875,3.76953125,15927.0,Jamal Murray
